CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,774.52906053,HCO2-Gain,-,1,7.622468761047011,,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,730.5381334700002,H-Gain,+,1,7.622468761047011,,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,730.5381334700002,H-Gain,+,1,8.205,,
PC(8:0_24:2),XIC,C40 H76 O8 N1 P1,ESI,730.5381334700002,H-Gain,+,1,26.9300282240517,,
PC(14:0_18:3),XIC,C40 H74 O8 N1 P1,ESI,728.5224834700001,H-Gain,+,1,6.814237992577923,,
PC(21:1_11:3),XIC,C40 H72 O8 N1 P1,ESI,726.5068334700001,H-Gain,+,1,5.998,,
PC(25:1_8:0),XIC,C41 H80 O8 N1 P1,ESI,746.56943347,H-Gain,+,1,9.791946949442835,,
PC(25:1_8:0),XIC,C41 H80 O8 N1 P1,ESI,746.56943347,H-Gain,+,1,10.343929095509779,,
PC(25:1_8:0),XIC,C41 H80 O8 N1 P1,ESI,746.56943347,H-Gain,+,1,14.93112691476499,,
PC(9:0_24:2),XIC,C41 H78 O8 N1 P1,ESI,744.55378347,H-Gain,+,1,12.53,,
PC(22:1_11:3),XIC,C41 H74 O8 N1 P1,ESI,762.5044284700001,Na-Gain,+,1,11.8157155481743,,
PC(33:5),XIC,C41 H72 O8 N1 P1,ESI,782.4977605299999,HCO2-Gain,-,1,7.585,,
PC(22:1_11:4),XIC,C41 H72 O8 N1 P1,ESI,760.48877847,Na-Gain,+,1,10.028243131144011,,
PC(22:3_11:3),XIC,C41 H70 O8 N1 P1,ESI,758.47312847,Na-Gain,+,1,8.248,,
PC(17:0_17:0),XIC,C42 H84 O8 N1 P1,ESI,784.5826784700001,Na-Gain,+,1,9.805067671355781,,
PC(18:0_16:0),XIC,C42 H84 O8 N1 P1,ESI,784.5826784700001,Na-Gain,+,1,10.500291438006801,,
PC(18:0_16:0),XIC,C42 H84 O8 N1 P1,ESI,806.59166053,HCO2-Gain,-,1,13.705437367330736,,
PC(18:0_16:0),XIC,C42 H84 O8 N1 P1,ESI,762.6007334700001,H-Gain,+,1,13.705437367330736,,
PC(18:0e_16:0),XIC,C42 H86 O7 N1 P1,ESI,770.6034134700002,Na-Gain,+,1,12.029,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,782.5670284700001,Na-Gain,+,1,8.538139518414614,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,782.5670284700001,Na-Gain,+,1,11.31881288295128,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,804.57601053,HCO2-Gain,-,1,11.31881288295128,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,760.5850834700001,H-Gain,+,1,11.31881288295128,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,804.57601053,HCO2-Gain,-,1,12.17250694235369,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,760.5850834700001,H-Gain,+,1,12.17250694235369,,
PC(20:0e_14:1),XIC,C42 H84 O7 N1 P1,ESI,746.6058184700001,H-Gain,+,1,13.185723591115783,,
PC(24:0_10:2),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,2.059,,
PC(16:0_18:2),XIC,C42 H80 O8 N1 P1,ESI,780.55137847,Na-Gain,+,1,7.2702756135660485,,
PC(16:1_18:1),XIC,C42 H80 O8 N1 P1,ESI,780.55137847,Na-Gain,+,1,9.392299935498059,,
PC(16:1_18:1),XIC,C42 H80 O8 N1 P1,ESI,802.5603605299999,HCO2-Gain,-,1,9.392299935498059,,
PC(16:1_18:1),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,9.392299935498059,,
PC(34:2),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,18.429,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,778.53572847,Na-Gain,+,1,6.37398357780296,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,778.53572847,Na-Gain,+,1,7.992804147803769,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,800.5447105299999,HCO2-Gain,-,1,7.992804147803769,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,7.992804147803769,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,800.5447105299999,HCO2-Gain,-,1,8.503765044398085,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,8.503765044398085,,
PC(34:3),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,26.971204410755707,,
PC(16:1_18:3),XIC,C42 H76 O8 N1 P1,ESI,776.5200784700002,Na-Gain,+,1,6.954398282052621,,
PC(16:1_18:3),XIC,C42 H76 O8 N1 P1,ESI,798.52906053,HCO2-Gain,-,1,6.954398282052621,,
PC(16:1_18:3),XIC,C42 H76 O8 N1 P1,ESI,754.5381334700002,H-Gain,+,1,6.954398282052621,,
PC(17:0_18:1),XIC,C43 H84 O8 N1 P1,ESI,774.6007334700001,H-Gain,+,1,11.98361558568568,,
PC(17:0_18:1),XIC,C43 H84 O8 N1 P1,ESI,774.6007334700001,H-Gain,+,1,12.637153907059064,,
